refcode,Density,smiles
UGUGIM01,1.92,O=N(=O)N1CN(C2C1N(CN2N(=O)=O)N(=O)=O)N(=O)=O
UDEYEJ,1.919,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1C#N
YEKQAG,1.919,Nc1[n+]([O-])c(N)c(nc1N(=O)=O)N(=O)=O
TENZUJ,1.918,O=[N+]([O-])Nc1n[nH]nc1[N+](=O)[O-]
WIKCIE,1.918,O=N(=O)C(C1=NNN=N1)(N(=O)=O)N(=O)=O
ZAGKAW,1.918,O=N(=O)NN1N=C(N=C1C1=NC(=NN1NN(=O)=O)N(=O)=O)N(=O)=O
EGEHAA,1.917,O=N(=O)OCC(CON(=O)=O)(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)N(=O)=O
MIDZEH,1.916,O=[N+]([O-])c1nonc1-c1noc(N=Nc2nc(-c3nonc3[N+](=O)[O-])no2)n1
QOYJOD06,1.915,O=c1[nH]nc([N+](=O)[O-])[nH]1
INEZOS,1.915,NN1C(=C(N=C1N(=O)=O)N(=O)=O)N
CIWVAH,1.915,O=N(=O)NC1=NON=C1N=[N+]([O-])C1=NON=C1NN(=O)=O
GIDDOP,1.914,O=C(NC1=NON=C1NC(=O)NN(=O)=O)NN(=O)=O
ZACSII,1.912,O=N(=O)NC1=NON=C1NN(=O)=O
ONORAL,1.911,[NH2+]=C([N-]N(=O)=O)N(CN(CN(C(=[NH2+])[N-]N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
KUKHOP,1.91,O=N(=O)C(C1=NN(COCN2N=NC(=N2)C(N(=O)=O)(N(=O)=O)N(=O)=O)N=N1)(N(=O)=O)N(=O)=O
BEVYUY,1.909,O=N(=O)C1=C(N(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)C=N1)N(=O)=O
CUVXOG,1.908,O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
ECUXOQ,1.907,O=[N+]([O-])N1C2NC3C1N([N+](=O)[O-])C1C(N3[N+](=O)[O-])N([N+](=O)[O-])C2N1[N+](=O)[O-]
LEQPIJ,1.906,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
VECGIV,1.902,O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O
