refcode,Density,smiles
EHOJOA,1.359,[O-][n+]1ccccc1c1ccc2ccccc2c1c1c2ccccc2ccc1c1cccc[n+]1[O-]
DEFGIE,1.359,C[N+]([O-])=NNc1ccc(cc1)C(N)=O
SOBCIW,1.359,CN1CC(OC1c1ccc(cc1)N(=O)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O
FIKWED,1.359,COc1ccc(C2C(C(N3CCCN23)C2=CC=CO2)N(=O)=O)c(OC)c1
AWIZIR01,1.359,O=N(=O)c1ccc(cc1)C(c1ccc(cc1)N(=O)=O)=C(c1ccccc1)c1ccccc1
ASULAC,1.358,COC(=O)C1(C(=O)OC)CC2=C(c3ccc([N+](=O)[O-])cc3)C(=O)C(c3ccccc3)c3c(-c4ccccc4)oc(c32)C1
AZECIU,1.358,Cc1noc(C2N3C(=O)CCN3C(c3ccccc3)C23C(=O)N(Cc2ccccc2)c2ccccc23)c1[N+](=O)[O-]
BUGQUQ,1.358,COc1ccc2c3c1OC1C4(OC)C=CC5(C(c6cccc([N+](=O)[O-])c6)C4)C(C2)N(C)CCC315
CASDOQ,1.358,CC(C(c1ccccc1)N(C)OC(=O)c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-]
DAMPCX,1.358,CC(=O)C1=C(O)CC(C)(O)C(C(C)=O)C1c1ccc([N+](=O)[O-])cc1
FEFPEM01,1.358,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1
HICDAY,1.358,COc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1O
JIZJAD,1.358,CC(=O)CC1C(=O)OC(C(C)COCc2ccccc2)C(C)C1OC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
LIFBUZ,1.358,COC(=O)C1=C(C(=O)OC)N(c2ccccc2)C(O)(C(=O)OC)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
LONCEZ,1.358,C=CC(Cc1cnc(-c2ccc([N+](=O)[O-])cc2)o1)c1ccc(C(=O)OC)cc1
LUDGAS,1.358,CN(C)c1ccc(C(=O)c2ccc([N+](=O)[O-])cc2)cc1
MFHPYC,1.358,CCOC(=O)C1(C(=O)OCC)CC(c2ccccc2[N+](=O)[O-])C(O)N1C=O
MPHFRN,1.358,O=C1OC(c2ccc([N+](=O)[O-])cc2)C(C(=O)N2CCOCC2)C1=C(c1ccccc1)c1ccccc1
MUKHIK,1.358,CC(=O)C1C2CCCC(C2=O)C(c2ccco2)C1[N+](=O)[O-]
MULGUW,1.358,Cc1nc(C=Cc2ccccc2)c([N+](=O)[O-])n1C
QEVJOQ,1.358,CC1(C)C2([N+](=O)[O-])CN(CCO)CC1([N+](=O)[O-])CN(CCO)C2
QIKKAY,1.358,CC(NC(=O)OC1(C)CCCC1C#CCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccccc1
TAXSOB,1.358,CCOC(=O)C(=Cc1ncn(C)c1[N+](=O)[O-])C(=O)OCC
YELGAY,1.358,O=[N+]([O-])c1ccc(N(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc([N+](=O)[O-])cc2)cc1
ZAQTOC,1.358,CCOC(=O)COc1ccc([N+](=O)[O-])cc1
ZOHSOE,1.358,N#CCCN(CCC#N)[N+](=O)[O-]
WENWIW,1.358,COc1cccc(c1)C1=NOC(=N1)CC1(CC2=NC(=NO2)c2cccc(OC)c2)C(=O)N(C(C)=O)c2ccccc12
MAWSAE,1.358,CC1CCCC(C)C1=NNc1ccc(cc1N(=O)=O)N(=O)=O
LESTUA,1.358,CC(C)(C)C1=CC(=NO1)NN=C1C(=O)Oc2ccccc2C1=O
PUHWOG,1.358,CN1C(=O)C2ON3C4CCCC4CC3C2C1=O
AXALAM,1.358,CC(=NO)C(C)=NNC(=O)c1ccccc1O
ULASEF,1.358,O=N(=O)c1ccc(OC2C3CC4CC(C3)CC2C4)cc1
EKUWEN,1.358,CCOC(=O)C1=C(OC(=C1c1ccc(cc1)N(=O)=O)c1ccccc1)c1ccccc1
AXEQEA,1.358,COc1ccc(cc1)C1CC1c1cccc(c1)N(=O)=O
ZIWQAZ,1.358,COc1cc(N)c(cc1OC)C(C)=NO
NAMPUO,1.358,COC(=O)C1NOC2CCCC12
JEYKAC,1.358,COC(=O)C(C)(NC(=O)c1ccc(cc1)N(=O)=O)C(C=C)c1ccccc1
KUXZUZ,1.358,CC(C)(C)OC(=O)CC12OC(=O)C(CC1=O)C(C2c1ccccc1)N(=O)=O
YEMGIJ,1.358,O=N(=O)c1ccc(cc1)C1=CC2C(=CC=C1)C1=C(c3ccccc3CC1)C2(C#N)C#N
ZEXDIS,1.358,CCOC(=O)CCCC1CCC(C=C1)=NNc1ccc(cc1N(=O)=O)N(=O)=O
MESHUO,1.358,Nc1ccccc1C1=NOC(C1)C#N
WEGVEL,1.358,COc1ccc(OC)c(C2=NOC3=C2C(=O)C=CC3(OC)OC)c1C1OCCCO1
XUTPOT,1.358,CN1C(=O)C2CC(N(O)c3ccccc3)C3=C(C2C1=O)N(C(C)=O)c1ccccc31
ROLKIM,1.358,O=NC1=C(C=C2C=CC=CN12)c1ccccc1
XAQTUF,1.358,CC1(C)C2CCC31C(C2)OC(=O)N3C(=O)C=NO
CIXCES,1.358,O=N(=O)c1ccc(cc1)C1Nc2ccccc2C2OCCCC12
HEFFOQ,1.358,COc1ccc(cc1)C#CC=CC#Cc1ccc(cc1)N(=O)=O
PUGZOH,1.358,CCOC(=O)C1=NOC2(C1)N(Cc1ccccc1)C(=O)C(C)(C)C2=O
RERDOJ,1.358,CCOC(=O)c1c(C)cc(c2ccccc2)c2OC(C)(CC(=NNc3ccc(cc3N(=O)=O)N(=O)=O)c3ccccc3)Oc12
QOVLIX,1.358,CC(C1CCC(ON1c1ccccc1)C=O)N(=O)=O
HUCTEG,1.358,ON1CC=CCCC1=O
EVODUQ,1.358,Cc1ccc(cc1)C1=NN(C(c2ccccn2)c2ccccn2)[N+](=C1)[O-]
ADAMEY,1.357,Cc1c(N=Cc2ccccc2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C
CECMOM,1.357,C#Cc1ccc([N+](=O)[O-])cc1
CIMCEJ,1.357,O=C1CC(c2ccccc2[N+](=O)[O-])C2(O1)C(=O)N(Cc1ccccc1)c1ccccc12
CURFIF,1.357,O=C1CCCC12COC(c1ccc([N+](=O)[O-])cc1)C2
FUDVUV,1.357,O=[N+]([O-])c1ccc(N2CCCC2CO)cc1
HECMAD,1.357,O=C(O)CCCCCNC(=O)c1ccc([N+](=O)[O-])cc1
HULDEA,1.357,O=[N+]([O-])c1cccc(-c2cc(Oc3ccccc3)nc(-c3ccccc3)c2)c1
IQUSUJ,1.357,CCOC(=O)C1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc([N+](=O)[O-])cc1
KAWPUT,1.357,O=[N+]([O-])c1ccc(C=NCCN2CCN(Cc3ccccn3)C2c2ccc([N+](=O)[O-])cc2)cc1
KUHKEF,1.357,CCOC(=O)C(C#N)C1C([N+](=O)[O-])=C(NC)Oc2ccccc21
KUVZAF,1.357,CN1CCN(CCNc2ccc([N+](=O)[O-])c3nonc23)CC1
NOGGUL,1.357,COc1cc(C=Cc2cc(OC)c(OC)c(OC)c2)ccc1[N+](=O)[O-]
NOLFUQ,1.357,COC(=O)C(C)C(O)c1ccc([N+](=O)[O-])cc1
OZUQIL,1.357,CC1(C)CC(=O)c2c(nn3c(N)nc(-c4ccccc4)c3c2-c2ccc([N+](=O)[O-])cc2)C1
QUMMOB,1.357,CC1(C)OC2OC3C4COC(Cc5ccc([N+](=O)[O-])cc5)(CC3(OCc3ccccc3)C2O1)O4
UCIRAA,1.357,CN1C(C)(C)COC12N(c1ccc([N+](=O)[O-])cc1)C(=O)N(c1ccc([N+](=O)[O-])cc1)C(=O)C2(C)C
WOMDEI,1.357,Cc1ccc2c(N=Nc3ccc([N+](=O)[O-])cc3)ccc(OC(=O)c3ccccc3)c2n1
WUDNAL,1.357,CC1=C2CCOc3ccc([N+](=O)[O-])c(c32)C1(C)C
XIXKUK,1.357,CC1CCCC(C)N1c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
ZOWSUZ01,1.357,O=C1C=C(Nc2ccc([N+](=O)[O-])cc2)CCC1
UPIQOA,1.357,CC(C)=C1C(COC(=O)c2ccc(cc2)N(=O)=O)OCC2CC12
XIQQOG,1.357,O=N(=O)c1cccc(c1)c1ccccc1c1nc2ccccc2nc1c1ccccc1
JONQOU,1.357,COC(=O)c1cccc(C)c1c1ccc(NCc2cc(ccc2N)N(=O)=O)cc1
SEHJUN,1.357,COc1cc(CC2=Nc3ccccc3N2)c(cc1OC)N(=O)=O
KIPPOR,1.357,O=C(C=Cc1ccc(cc1)N(=O)=O)c1c2ccccc2cc2ccccc12
DIWYUE,1.357,O=C1N(Cc2ccccc2)C(NCc2ccccc2)c2ccc(cc12)N(=O)=O
LOKZAN,1.357,COC(=O)c1ccc(NC(=O)c2ccc(NC(=O)c3ccc(c(OCC(=O)OC(C)(C)C)c3)N(=O)=O)c(OCC(=O)OC(C)(C)C)n2)c(OCC(=O)OC(C)(C)C)n1
GIKDUA,1.357,COCOc1cccc(C2OCCCO2)c1C1=NOC(=O)C1=C(C)C
APYRCX,1.357,ON=Cc1ccncc1
ITICAR,1.357,Oc1ccc(CCN=Cc2ccc(cc2)N(=O)=O)cc1
OGOCUK,1.357,COc1ccc(cc1)C1C(C(Cc2ccc(cc2)N(=O)=O)c2ccc(OC)cc12)c1ccc(cc1)N(=O)=O
CUGBEM,1.357,CC(C)[N+]1=NOC(=C1C=C(C#N)C#N)[N-]C(=O)c1ccccc1
XECKOG,1.357,CCOC(=O)C1=CC(=NO1)C(=O)c1ccccc1
CUXNOY,1.356,O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2
ESANIX,1.356,Cc1ccc(N=Cc2cc([N+](=O)[O-])ccc2O)cc1C
GESBIQ,1.356,CC1CC2OC(COCc3ccccc3)(C1)OC2C=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
GIVDAT,1.356,CCOC(=O)C1NC(CC(=O)OC)(C(=O)OC)C2(C(=O)N(C(=O)OC(C)(C)C)c3ccccc32)C1c1cccc([N+](=O)[O-])c1
HEVYEM,1.356,CCOC(=O)C(=CNc1cccc([N+](=O)[O-])c1)C(=O)c1ccccc1
HODKAN,1.356,CCC(CC)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
KAYTUZ,1.356,NCCNc1ccc([N+](=O)[O-])cc1
LINVUZ,1.356,COc1ccc(C=C(C#N)[N+](=O)[O-])cc1
MNTBZA,1.356,Cc1cc(C(=O)O)cc(C)c1[N+](=O)[O-]
NOHCAQ,1.356,CN1C=C(c2ccccc2)C(c2ccc([N+](=O)[O-])cc2)NC1=O
NOVHIR,1.356,COc1ccc(N2C(=O)C(Oc3ccccc3)C2c2ccc([N+](=O)[O-])cc2)cc1
QATYES,1.356,O=[N+]([O-])c1nnn(Cc2ccccc2)c1-c1cccc2ccccc12
QOCNIF,1.356,O=[N+]([O-])c1ccc(CN2CCN(Cc3ccc([N+](=O)[O-])cc3)CCN(Cc3ccc([N+](=O)[O-])cc3)CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)cc1
ROGZAO,1.356,CC(C)CC1CC(=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C(C)(C)CO1
SAQVEK,1.356,COC1CC(=O)CC2CC(C)N(C(=O)c3ccc([N+](=O)[O-])cc3)C(=O)C21
USAGEB,1.356,COc1ccc(C2OC(c3ccc([N+](=O)[O-])cc3)C3(O2)C(=O)N(Cc2ccccc2)c2ccccc23)cc1
VUMXEJ,1.356,CCc1ccc(NC2=C(C(=O)c3ccc([N+](=O)[O-])cc3)C(c3ccc(OC)cc3)N(CC#N)C2=O)cc1
WOGDUR,1.356,CC(=O)C(C(C)=O)C1C2CC(O[N+](=O)[O-])C1C1CC=CC12
WUMDIR,1.356,COC(=O)C(C=Cc1ccc([N+](=O)[O-])cc1)=Cc1ccccc1
YOLMUH,1.356,CC(=O)CCc1oc2ccc([N+](=O)[O-])cc2c1-c1ccc(C)o1
ZURYIW,1.356,CC(COc1ccc([N+](=O)[O-])cc1OCC(C)(c1ccc[nH]1)c1ccc[nH]1)(c1ccc[nH]1)c1ccc[nH]1
QIZMAO,1.356,Cc1ccc(N=C=Nc2ccccc2)c(c1)C#Cc1ccc(cc1)N(=O)=O
IBABOD,1.356,COC(=O)C=C1ON2C(CCC2(C)c2ccccc2)C1C(=O)OC
IQADOT,1.356,CCOc1cc(ccc1O)C=NOc1ccc(C=NOc2ccc(C=NOCc3ccccc3)cc2N(=O)=O)cc1C
DUGMUN,1.356,ON=C(C#N)c1ccccc1
FACZAN,1.356,Cc1ccc(CC(=C2CCCC2=NNc2ccc(cc2N(=O)=O)N(=O)=O)c2ccc(C)cc2)cc1
MOLQUB,1.356,CC(C)(C)C1=NOC(=N1)c1ccc(cc1)N(=O)=O
HEXDAS,1.356,CCOC(=O)C12CCC(=O)C=C1CCC(C)(C2)N(=O)=O
DODBOO,1.356,Oc1ccc2ccccc2c1C=NOCCON=Cc1c(O)ccc2ccccc12
MUDQIM,1.356,COC(=O)C12CCCC(C)(C1=O)C(=CC2)c1ccc(cc1)N(=O)=O
MBYIOZ01,1.356,CC1=NOC(=O)C1=Cc1ccccc1
ODANUC,1.356,CN(C(=O)NC(=O)c1ccccc1)C(=O)C1=C(C#N)C(=NO1)c1c(C)cc(C)cc1C
OFEXOM,1.356,O=Nc1c(NCc2ccccc2)nc(OCc2ccccc2)nc1OCc1ccccc1
FIWHAW,1.356,CC(OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C1C(C1c1ccccc1)C(=O)C1CCCCC1
WAMTIO,1.356,O=C1C=CN(OCc2ccccc2)C2=NCCN12
DUHJAT,1.356,COc1ccc(cc1)C1=CC(C#N)(C(C1N(=O)=O)c1ccccc1)C(N)=O
TIHHIC,1.356,COC1=C(N=C(C)N1c1ccccc1)N(=O)=O
ETAGEM,1.356,CCOC1CC2ON1c1cc(C)ccc1C2=O
REZGEL,1.356,COc1ccc(cc1)C(=O)N(C)c1ccc(cc1)N(=O)=O
SIZFOY,1.356,O=C(c1ccccc1)C1(C#N)C(c2ccccc2)C(CC(=Cc2ccccc2)N(=O)=O)(C=C1c1ccccc1)N(=O)=O
JURQOC,1.356,CCCCOC1CC(OC(=O)c2ccccc2)C2C(C(ON2O1)C(=O)OC)C(=O)OC
BAQJEI,1.355,CC(=O)CC(C(=Cc1ccccc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
EBURUR,1.355,CC1(C)c2ccccc2N(C(=O)c2ccccc2[N+](=O)[O-])C1O
EHECEZ,1.355,CC(=O)OC1CCC(C#N)(OC(=O)c2ccc([N+](=O)[O-])cc2)CC1
EKAGUU,1.355,CC1(C)C2CC3C(c4ccc([N+](=O)[O-])cc4)=NOC3(C(O)OC(O)C34ON=C(c5ccc([N+](=O)[O-])cc5)C3CC3CC4C3(C)C)C1C2
ESEBUA,1.355,COC(=O)C1=C2C=CC(OC)(O2)C(OC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)CCCC=CCCC1=O
FAQJEM,1.355,CC1N(c2ccccc2)N=C([N+](=O)[O-])NN1c1ccccc1
FETRAY,1.355,COc1ccc(C(=O)C(C)Oc2ccc(C)nc2[N+](=O)[O-])cc1
FONCIU,1.355,COC(=O)C1=C(C)N(C)C(C)C(C(=O)OC)=C1c1ccccc1[N+](=O)[O-]
FUHSEG,1.355,N#CC(=Cc1ccccc1)[N+](=O)[O-]
GAZXAG,1.355,CC(=O)OCC1(OCc2ccccc2)OCC(OC(C)=O)C([N+](=O)[O-])C1OC(C)=O
HIDQIW,1.355,CCOC(=O)c1coc(-c2ccccc2)c1-c1ccc([N+](=O)[O-])cc1
JADDOI,1.355,CN(C)c1cc([N+](=O)[O-])ccc1Oc1ccc([N+](=O)[O-])cc1N(C)C
JUTDEJ,1.355,COC(=O)C=C1C(=O)N(Cc2ccccc2)c2nc3ccc([N+](=O)[O-])cc3nc2N1CCCN(C)C
KABTEP,1.355,O=c1oc2ccccc2c2c1C(c1ccccc1)C([N+](=O)[O-])C(=Cc1ccccc1)O2
KERTAD,1.355,CC(C)n1c(Oc2cccc([N+](=O)[O-])c2)nc2c(nnn2-c2ccccc2)c1=O
LOLCOG,1.355,O=[N+]([O-])c1ccc(O)c(C=NC(c2ccccc2)C(O)c2ccccc2)c1
NIQVIV,1.355,O=C(c1ccccc1)c1cc(C(=O)c2ccc([N+](=O)[O-])cc2)n2c1-c1ccccc1CC2
PEMLUP,1.355,COc1ccc2[nH]cc(C(c3cccc([N+](=O)[O-])c3)c3c[nH]c4ccc(OC)cc34)c2c1
QAYSIT,1.355,O=C1CCCC2=C1C(c1cccc([N+](=O)[O-])c1)C1C(=O)CCCC1(O)O2
QEBZUS,1.355,CC1([N+](=O)[O-])CC1C(O)CO
RUZYER,1.355,CCCCNc1c([N+](=O)[O-])cc(C(=O)NC(C)C(=O)Nc2cc(C)cc(C)c2)cc1[N+](=O)[O-]
SABJEM,1.355,COC(CN1CCN2C1=C([N+](=O)[O-])CCC2O)OC
SAGNAS,1.355,O=C(C=C(c1ccccc1)c1cccc([N+](=O)[O-])c1)Nc1cccc2cccnc12
SIDKAR,1.355,COC(c1ccccc1)C1CCCC1C=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
SUZCEX,1.355,CN(C)c1ccc(C=C(C#N)[N+](=O)[O-])cc1
TMANIA10,1.355,C[N+](C)(C)[N-][N+](=O)[O-]
XUQMUR,1.355,CC1C2CCC(=NNc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C2C2C1CCC21CC1
YARGON,1.355,O=C(C1=C(C)NC(C)=C(C(OC)=O)C1C2=CC=CC=C2[N+]([O-])=O)OCC3OCCC3
YELMUX,1.355,CC(=O)OC1COC(Nc2ccc([N+](=O)[O-])cc2)C(OC(C)=O)C1OC(C)=O
UHUGUZ,1.355,CC1(C)OC2COC3(OC(C)(C)OC3C2O1)C=CN(=O)=O
OBAHOQ,1.355,CCOC(=O)C1=CC(C#N)(C(=O)OCC)C2(C1c1ccc(cc1)N(=O)=O)C(=O)N(Cc1ccccc1)c1ccccc21
NEQSIN,1.355,CN(C)C=Nc1ccc(cc1C#N)N(=O)=O
PADXOJ,1.355,OC(C1CCCCC1=O)c1ccc(cc1)N(=O)=O
GUCQOM,1.355,CN(C)c1ccc(c(Nc2ccccc2)c1)N(=O)=O
TIWDEI,1.355,CCOC(=O)COC1CCN(CC1)C(=O)C(C)NC(=O)c1ccc(cc1)C(N)=NO
JONYES,1.355,CC1=C(C(=NO1)C)c1cccc2C(=O)c3cccc(C)c3C(=O)c12
WULREA,1.355,COC1(C)OCC(OC1(C)OC)C(OC(=O)c1ccc(cc1)N(=O)=O)C#CC
ABITOX,1.355,CCOC(=O)C(C1C(CN(CC2CCCCC2)C1=O)C(ON1N=Nc2ccccc12)c1cccc(c1)N(=O)=O)C(=O)OCC
UNOGAF,1.355,CCOC(=O)C(C(=O)OCC)c1ccc(cc1)N(=O)=O
UCEWIJ,1.355,O=N(=O)c1ccc(C=Cc2ccc3ccc4cccc5ccc2c3c45)cc1
MEJNAS,1.355,COC(=O)C(C(CN(=O)=O)c1ccc(C)cc1)C1=NOc2ccccc12
BAVREY,1.355,CN(N=O)C(=O)C=Cc1ccccc1
ZAWRUN,1.355,COc1ccc(cc1CN(Cc1cc[n+]([O-])cc1)c1ccc(OC)c(c1)C1OCCO1)N(Cc1ccc(O)cc1)Cc1cc(ccc1OC)N(=O)=O
EDARUX,1.355,[O]N1c2ccccc2C2(c3ccccc13)c1ccccc1N([O])c1ccccc21
QOQTIZ,1.355,COc1cc2C3C=CC(OC)(ON3c3ccccc3)C(=O)c2c(OC)c1OC
VESRET,1.355,CC(OC(=O)C1(CONC(N)=O)CO1)c1ccccc1
VOQSOK,1.355,Cc1c(C)c(CON2N=Nc3ccccc23)c(C)c(C)c1CON1N=Nc2ccccc12
YIPMAM,1.355,CC1(C)CN(C(=O)C1OC(=O)C1C2CC(C=C2)C1N(=O)=O)c1ccc(cc1)C(=O)OCc1ccccc1
CYNOAZ11,1.355,[O]N1C2CCCC1CC(=O)C2
VIGDAS,1.355,CN1c2cccc3C(=O)C=CC(=NC1(C)c1ccccc1N(=O)=O)c23
HEHZOM,1.355,Cc1ccc(cc1)C1=NOC2(C1C(=O)c1ccccc1)C(=O)N(CC1=CN(N=N1)c1ccccc1)c1ccccc21
AZORUD,1.354,O=[N+]([O-])c1ccc(N=Cc2c3ccccc3cc3ccccc23)cc1
DUGXAE,1.354,CC(=O)OC1COC(Nc2cc(C)c(C)cc2[N+](=O)[O-])C(OC(C)=O)C1OC(C)=O
FEPFIP,1.354,CNc1ccc([N+](=O)[O-])cc1C(=O)N1CCCC1CO
IGEKOW,1.354,C=C1CC2C(CC(C)N2C(=O)OC)Oc2cccc([N+](=O)[O-])c21
IHAJEI,1.354,COC(=O)C1NC(c2ccccc2)C([N+](=O)[O-])C1c1ccccc1
IZUFUE,1.354,CCc1nc2ccccc2cc1[N+](=O)[O-]
JAXNAA,1.354,COc1cc(C(CC(C)=O)C[N+](=O)[O-])cc2c1OCO2
NAVHEA,1.354,COC(=O)C1(C(=O)OC)CC(c2ccccc2)NC1c1ccc([N+](=O)[O-])cc1
NPHOPN,1.354,CC(C)(c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1
OWUXOU,1.354,CC(=O)C1CC(c2ccc([N+](=O)[O-])cc2)=CC(C)COC1=O
SAGSAV,1.354,CC(C)[NH+]=C1N(C(C)C)C(=O)N(C(C)C)C2(C([N+](=O)[O-])=CC(=[N+]([O-])[O-])C=C2[N+](=O)[O-])N1C(C)C
SAZHAC,1.354,Cc1c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c1C
VUWRIO,1.354,CC12CCCC(OC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C1C1C(=O)C3(O)CCC(CC12)C3(C)C
WISBIJ,1.354,COc1ccc(-n2cc([N+](=O)[O-])nc2C)cc1
XUTYAO,1.354,C=CC1C(C)C(=O)C2OC2C1OC(=O)c1ccc([N+](=O)[O-])cc1
FULKEE,1.354,ON(c1ccccc1)C(=O)c1ccc2ccccc2c1c1c(ccc2ccccc12)C(=O)N(O)c1ccccc1
GALTUK,1.354,CCOC(=O)C(C)C1CCC(C(C1N(=O)=O)c1ccc(OC)cc1)N(=O)=O
NANHAL,1.354,CN(C)c1ccc(cc1)C1=Nc2ccc(cc2C1(C)C)N(=O)=O
UREROA,1.354,CC1(C)C(=NOC1(ON1C(=O)c2ccccc2C1=O)OC(=O)c1ccccc1)c1ccccc1
WAXDUW,1.354,O1N=C2C(C=CC(=NN(c3ccccc3)c3ccccc3)C2=N1)=NN(c1ccccc1)c1ccccc1
LAMFAI,1.354,Cc1ccc2N3OC(CC3c3cccc4ccccc34)Cc2c1
EBOWIC,1.354,CC12CC3CCC4OC(=O)C(=C1)C34N(O2)c1ccccc1
BAKTOX,1.354,COC(=O)C1=CON=C1C
IXOZAY02,1.354,COc1cc2CCC=[N+]([O-])CCc3ccccc3c2cc1O
CEVBOV,1.354,COc1ccc(cc1)N([O])c1ccc(cc1)N1C=CC=C1
DERKUH,1.354,COC(=O)C1C(N2OC(=C(C(=O)OC)C12C(=O)OC)C(=O)OC)(C(=O)NC(C)(C)C)C(=O)OC
VABZIH,1.354,COC1OCCC2ON3C(=NOC3(C12)c1ccccc1)c1ccccc1
IFUQAE,1.354,CC1(C)c2ccccc2N(CCOC(=O)c2ccncc2)C21Oc1ccc(cc1C=C2)N(=O)=O
VAYTAR,1.354,CCCC1=CC(=NN1c1ccccc1N(=O)=O)C1=NN(C(=C1)CCC)c1ccccc1N(=O)=O
IGIYUS,1.354,O1N=C(OC1=Nc1ccccc1)c1ccccc1
HUTPET,1.354,CCOC(=O)NN(C(=O)OCC)C(=CN1CCCCC1)C1=C(C(=NO1)C)N(=O)=O
CELZAX,1.354,CC(C=C)(C(O)=O)c1cccc(c1)N(=O)=O
KERHUN,1.354,C1CC(=NOc2ccccc2)C2OCC1O2
HIGYII,1.354,CON=C1OC2=C(C(=O)N(Cc3ccccc3)c3ccccc23)c2ccccc12
DABFIW,1.354,CN1N=C2C(=C1c1ccccc1)CCC1CON=C21
FOGYIK,1.354,Cc1ccc(cc1)C=C1CCCC(=Cc2ccc(cc2)N(=O)=O)C1=O
AOXLPY,1.353,COC1OCC(OC(C)=O)C(C)([N+](=O)[O-])C1OC(C)=O
BESNAO01,1.353,COC(=O)C(=Cc1ccccc1)[N+](=O)[O-]
BUGQOK,1.353,COc1ccc2c3c1OC1C4(OC)C=CC5(CC4c4cccc([N+](=O)[O-])c4)C(C2)N(C)CCC315
CANKIL,1.353,CNC1=NC(NC)=C([N+](=O)[O-])C1=Nc1ccccc1
FASRUP,1.353,Cc1ccccc1C=CC(=O)c1ccc([N+](=O)[O-])cc1
GEMSID,1.353,CCOC(=O)c1[nH]c2ccccc2c1C(c1ccc([N+](=O)[O-])cc1)c1c(C(=O)OCC)[nH]c2ccccc12
HITMUS,1.353,CC(C[N+](=O)[O-])=C(C)C[N+](=O)[O-]
HOGZAF,1.353,CC1=CCC23CC=CCC(C)(C=CC12)C3OC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
ITEPOM,1.353,COC1OC2COC(C)(C)OC2C2Oc3ccc([N+](=O)[O-])cc3C(=O)NC12
JIPBAO,1.353,CC(NC(=O)c1ccc([N+](=O)[O-])cc1)c1cncc(N2CCN(c3ccccn3)CC2)n1
PAWDEY,1.353,O=[N+]([O-])C1Cc2ccccc2OC1c1ccccc1
PICFOW01,1.353,CC(=O)C=C(C)Nc1ccc([N+](=O)[O-])cc1
QENQEF,1.353,O=[N+]([O-])c1ccc(NN=C(c2ccccc2)C2CCc3ccccc3-c3ccccc3C2)c([N+](=O)[O-])c1
QUKXAV,1.353,CN(C)c1ccc2c(c1)C1(OCCO1)c1cc([N+](=O)[O-])ccc1-2
RAMTEH,1.353,COc1cc(CN2CC3CC(C2)c2cccc(=O)n2C3)c([N+](=O)[O-])cc1OC
RENMEF,1.353,CCOC(=O)C12NC1(OC(=O)C1CCCCC1)OC1=C(C(=O)c3ccccc3C1=O)C2c1ccc([N+](=O)[O-])cc1
UGERUW,1.353,O=C(C=Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc([N+](=O)[O-])cc1
VOHYUN,1.353,COc1cc(C=O)ccc1OCc1ccc([N+](=O)[O-])cc1
YOLYIJ,1.353,COc1ccc(C(=O)C2C(c3ccc([N+](=O)[O-])cc3)C23C(=O)Nc2ccccc23)cc1
ZULYEK,1.353,Cc1[nH]c2ccccc2c1-c1ccc([N+](=O)[O-])cc1
TAZVAS,1.353,O=N(=O)c1ccc(cc1)C=Nc1cccc2ccccc12
GUZSEA,1.353,O=C1OC(c2ccc(cc2)N(=O)=O)C1(c1ccccc1)c1ccccc1
GOJWEJ,1.353,COC(=O)CC1C(=O)N(C(=O)C1(Cc1ccccc1)N=Cc1ccccc1N(=O)=O)c1ccccc1
FICHAB,1.353,CC(=O)Nc1c(C)cc(cc1C)N(=O)=O
CUFHAO,1.353,O=C(OC(=C1COCC1=Cc1ccccc1)c1ccccc1)c1ccc(cc1)N(=O)=O
NITOLU01,1.353,Cc1ccc(cc1)N(=O)=O
